name,Type,Region,Zone
CarlsbadEC1-GT5,Gas CT,CISD,WECC
CarlsbadEC1-GT6,Gas CT,CISD,WECC
Carmen_Smith_1,Hydro,BPAT,WECC
Carmen_Smith_2,Hydro,BPAT,WECC
Carmen_Smith_3,Hydro,BPAT,WECC
CarouselWindFarm,Wind,PSCO,WECC
Carsela1_1,Gas CT,AESO,WECC
Carsela2_2,Gas CT,AESO,WECC
CarsonCC-Total,CHP-QF,CISC,WECC
CarsonIce_GT,Gas CT,BANC,WECC
CarsonIceCC-Total,CHP-QF,BANC,WECC
CartyGenStaCC-Total,Gas CC,PGE,WECC
Cascade_CO,Hydro,WACM,WECC
Cascade_ID_1,Hydro,IPTV,WECC
Cascade_ID_2,Hydro,IPTV,WECC
Cascade1_1,Hydro,AESO,WECC
Cascade2_2,Hydro,AESO,WECC
Casper_Wind,Wind,PAWY,WECC
CassiaGulch,Wind,IPMV,WECC
CassiaWind,Wind,IPMV,WECC
Castaic_1,Storage,LDWP,WECC
Castaic_2,Storage,LDWP,WECC
Castaic_3,Storage,LDWP,WECC
Castaic_4,Storage,LDWP,WECC
Castaic_5,Storage,LDWP,WECC
Castaic_6,Storage,LDWP,WECC
Castaic_7,Hydro,LDWP,WECC
CastaicInflowHydro,Storage,LDWP,WECC
Castle_Creek1,Hydro,BCHA,WECC
Castle_Creek2,Hydro,BCHA,WECC
CastlerockG1_1,Wind,AESO,WECC
CASTRIV1_1,Wind,AESO,WECC
CASTRIV2_2,Wind,AESO,WECC
Castrvlle_QF,Coal,CIPV,WECC
Catalina_Solar,PV,CISC,WECC
CavalierCC-Total,Gas CC,AESO,WECC
CA-Valley2,PV,CIPB,WECC
CA-Valley2A,PV,CIPB,WECC
CA-Valley2B,PV,CIPB,WECC
CA-Valley2C,PV,CIPB,WECC
CA-Valley2D,PV,CIPB,WECC
CC-Creek,Hydro,BCHA,WECC
CD4,Geothermal,CIPV,WECC
Cedar_Creek1_1,Wind,PSCO,WECC
Cedar_Creek2,Wind,PSCO,WECC
Cedar_Draw_1,Hydro,IPMV,WECC
Cedar_Falls_5,Hydro,SCL,WECC
Cedar_Falls_6,Hydro,SCL,WECC
Cedar_Mountain,Wind,AZPS,WECC
Cedar_Point,Wind,PSCO,WECC
Cedar_Road_LFG,Biomass,BCHA,WECC
CedarCreek1-2,Wind,PSCO,WECC
CE-Leathers,Geothermal,IID,WECC
Center_Area_Agg,Gas CT,CISC,WECC
CenterPeaker,Gas CT,CISC,WECC
Centerville1,Hydro,CIPV,WECC
Centerville2,Hydro,CIPV,WECC
Centralia2,Coal,BPAT,WECC
CentraliaCC-Total,Gas CC,BPAT,WECC
Century1,Gas CT,CISC,WECC
Century2,Gas CT,CISC,WECC
Century3,Gas CT,CISC,WECC
Century4,Gas CT,CISC,WECC
CerroPrieto1-1,Geothermal,CFE,WECC
CerroPrieto1-2,Geothermal,CFE,WECC
CerroPrieto1-3,Geothermal,CFE,WECC
CerroPrieto1-4,Geothermal,CFE,WECC
CerroPrieto1-5,Geothermal,CFE,WECC
CerroPrieto2-1,Geothermal,CFE,WECC
CerroPrieto2-2,Geothermal,CFE,WECC
CerroPrieto3-1,Geothermal,CFE,WECC
CerroPrieto3-2,Geothermal,CFE,WECC
CerroPrieto4-1,Geothermal,CFE,WECC
CerroPrieto4-2,Geothermal,CFE,WECC
CerroPrieto4-3,Geothermal,CFE,WECC
CerroPrieto4-4,Geothermal,CFE,WECC
CerroPrieto5-1,Geothermal,CFE,WECC
CerroPrietoPV,PV,CFE,WECC
Chalk_Cliff,CHP-QF,CIPV,WECC
Chandler_1,Hydro,BPAT,WECC
Chandler_2,Hydro,BPAT,WECC
Cheakamus_1,Hydro,BCHA,WECC
Cheakamus_2,Hydro,BCHA,WECC
ChehalisCC-Total,Gas CC,BPAT,WECC
Chelan_A_1,Hydro,CHPD,WECC
Chelan_A_2,Hydro,CHPD,WECC
CherokeeCC-Total,Gas CC,PSCO,WECC
Chetwynd_Bio1,Biomass,BCHA,WECC
CheyennePrairie2-1,Gas CT,WACM,WECC
CheyennePrairie2-2,Gas CT,WACM,WECC
CheyennePrairie3,Gas CT,WACM,WECC
CheynnPrari1CC-Total,Gas CC,WACM,WECC
Chicago_Park_2P,Hydro,CIPV,WECC
Chickwat_1,Hydro,BCHA,WECC
