name,TypeSpecific,Type,Region,Zone
DR-IPTV,DR,DR,IPTV,US
DR-PAID,DR,DR,PAID,US
DR-PGE,DR,DR,PGE,US
DR-PSEI,DR,DR,PSEI,US
DSM_CHPD_1,Interrupt_DR,DR,CHPD,US
DSM_PACE_UT_3,Interrupt_DR,DR,PAID,US
DSM_PACW_1,Interrupt_DR,DR,PACW,US
DSM_PACW_2,Interrupt_DR,DR,PACW,US
Dworshak_1,Hydro_FixedDispatch,Hydro,BPAT,US
Dworshak_2,Hydro_FixedDispatch,Hydro,BPAT,US
Dworshak_3,Hydro_FixedDispatch,Hydro,BPAT,US
Eagle_Point_1,Hydro_ZeroK,Hydro,PACW,US
EastSide,Hydro_ZeroK,Hydro,PACW,US
Echanis_Wind,WT-Onshore,Wind,BPAT,US
Electron_1,Hydro_ZeroK,Hydro,PSEI,US
Electron_2,Hydro_ZeroK,Hydro,PSEI,US
Electron_3,Hydro_ZeroK,Hydro,PSEI,US
Electron_4,Hydro_ZeroK,Hydro,PSEI,US
Elk_Creek,Hydro_ZeroK,Hydro,IPTV,US
Elkhorn_Valley,WT-Onshore,Wind,IPTV,US
Ella_Butte,WT-Onshore,Wind,BPAT,US
Eltopia_Branch,Hydro_ZeroK,Hydro,TPWR,US
EncogenCC-Total,CCWhole-NatGas-Industrial,Gas CC,PSEI,US
Energetics_PV,SolarPV-NonTracking,PV,BPAT,US
EsquatzelCanal,Hydro_ZeroK,Hydro,BPAT,US
EurusCombinHill,WT-Onshore,Wind,BPAT,US
EvanderAndrews1,CT-NatGas-Aero,Gas CT,IPTV,US
EvanderAndrews2,CT-NatGas-Aero,Gas CT,IPTV,US
EvanderAndrews3,CT-NatGas-Aero,Gas CT,IPTV,US
Fall_Creek_1,HydroRPS,Hydro,BPAT,US
Fall_Creek_2,HydroRPS,Hydro,BPAT,US
Fall_Creek_3,HydroRPS,Hydro,BPAT,US
FallsRiver_ID1,Hydro_ZeroK,Hydro,IPFE,US
FallsRiver_ID2,Hydro_ZeroK,Hydro,IPFE,US
Faraday_1,Hydro_ZeroK,Hydro,PGE,US
Faraday_2,Hydro_ZeroK,Hydro,PGE,US
Faraday_3,Hydro_ZeroK,Hydro,PGE,US
Faraday_4,Hydro_ZeroK,Hydro,PGE,US
Faraday_5,Hydro_ZeroK,Hydro,PGE,US
Faraday_6,Hydro_ZeroK,Hydro,PGE,US
FargoDrop,Hydro_FixedDispatch,Hydro,IPTV,US
FarmPowerLynden,Bio-ICE,Biomass,PSEI,US
FarmPowerMistyMeadow,Bio-ICE,Biomass,BPAT,US
FarmPowerRexville,Bio-ICE,Biomass,PSEI,US
FarmPowerTillamook,Bio-ICE,Biomass,BPAT,US
Faulkner_Ranch,Hydro_FixedDispatch,Hydro,IPMV,US
FeltHydro1,Hydro_ZeroK,Hydro,IPFE,US
FeltHydro2,Hydro_ZeroK,Hydro,IPFE,US
FeltHydro3,Hydro_ZeroK,Hydro,IPFE,US
FerndaleCC-Total,CCWhole-NatGas-Industrial,Gas CC,PSEI,US
Finley_Bio1,Bio-ICE,Biomass,BPAT,US
Finley_Bio2,Bio-ICE,Biomass,BPAT,US
Finley_Bio3,Bio-ICE,Biomass,BPAT,US
Fish_Creek_1,Hydro,Hydro,PACW,US
Fisheries_Dev,Hydro_FixedDispatch,Hydro,IPMV,US
Foster_1,Hydro_FixedDispatch,Hydro,BPAT,US
Foster_2,Hydro_FixedDispatch,Hydro,BPAT,US
FranklinGrays1,CT-NatGas-Aero,Gas CT,BPAT,US
FranklinGrays2,CT-NatGas-Aero,Gas CT,BPAT,US
FranklinGrays3,CT-NatGas-Aero,Gas CT,BPAT,US
FranklinGrays4,CT-NatGas-Aero,Gas CT,BPAT,US
FredericksonCC-Total,CCWhole-NatGas-Industrial,Gas CC,BPAT,US
Fredonia_1,CT-NatGas-Industrial,Gas CT,PSEI,US
Fredonia_2,CT-NatGas-Industrial,Gas CT,PSEI,US
Fredonia_3,CT-NatGas-Industrial,Gas CT,PSEI,US
Fredonia_4,CT-NatGas-Industrial,Gas CT,PSEI,US
Ft_James_Cogen,ST-WasteHeat,Other,PACW,US
FtJames1,Biomass,Biomass,PACW,US
Gem_State_1,Hydro,Hydro,PAID,US
Golden_Hills,WT-Onshore,Wind,BPAT,US
Golden_Valley,WT-Onshore,Wind,IPMV,US
GoldendaleCC-Total,CCWhole-NatGas-Industrial,Gas CC,PSEI,US
Goodnoe_Hills1,WT-Onshore,Wind,PACW,US
Goodnoe_Hills2,WT-Onshore,Wind,BPAT,US
Gorge21,Hydro,Hydro,SCL,US
Gorge22,Hydro,Hydro,SCL,US
Gorge23,Hydro,Hydro,SCL,US
Gorge24,Hydro,Hydro,SCL,US
Goshen_Phase2,WT-Onshore,Wind,PAID,US
Grace_3,Hydro_ZeroK,Hydro,PAID,US
Grace_4,Hydro_ZeroK,Hydro,PAID,US
Grace_5,Hydro_ZeroK,Hydro,PAID,US
GrandCoulee01,Hydro,Hydro,BPAT,US
GrandCoulee02,Hydro,Hydro,BPAT,US
GrandCoulee03,Hydro,Hydro,BPAT,US
GrandCoulee04,Hydro,Hydro,BPAT,US
GrandCoulee05,Hydro,Hydro,BPAT,US
GrandCoulee06,Hydro,Hydro,BPAT,US
GrandCoulee07,Hydro,Hydro,BPAT,US
GrandCoulee08,Hydro,Hydro,BPAT,US
GrandCoulee09,Hydro,Hydro,BPAT,US
GrandCoulee10,Hydro,Hydro,BPAT,US
GrandCoulee11,Hydro,Hydro,BPAT,US
GrandCoulee12,Hydro,Hydro,BPAT,US
GrandCoulee13,Hydro,Hydro,BPAT,US
GrandCoulee14,Hydro,Hydro,BPAT,US
GrandCoulee15,Hydro,Hydro,BPAT,US
GrandCoulee16,Hydro,Hydro,BPAT,US
GrandCoulee17,Hydro,Hydro,BPAT,US
GrandCoulee18,Hydro,Hydro,BPAT,US
GrandCoulee19,Hydro,Hydro,BPAT,US
GrandCoulee20,Hydro,Hydro,BPAT,US
GrandCoulee21,Hydro,Hydro,BPAT,US
GrandCoulee22,Hydro,Hydro,BPAT,US
GrandCoulee23,Hydro,Hydro,BPAT,US
GrandCoulee24,Hydro,Hydro,BPAT,US
GrandCouleePG07,PS-Hydro,Other,BPAT,US
GrandCouleePG08,PS-Hydro,Other,BPAT,US
GrandCouleePG09,PS-Hydro,Other,BPAT,US
GrandCouleePG10,PS-Hydro,Other,BPAT,US
GrandCouleePG11,PS-Hydro,Other,BPAT,US
GrandCouleePG12,PS-Hydro,Other,BPAT,US
GraysHarborCC-Total,CCWhole-NatGas-Industrial,Gas CC,BPAT,US
Green_Peter_1,Hydro_FixedDispatch,Hydro,BPAT,US
Green_Peter_2,Hydro_FixedDispatch,Hydro,BPAT,US
Green_Springs,Hydro_ZeroK,Hydro,BPAT,US
H_M_Jackson_1,Hydro,Hydro,BPAT,US
H_M_Jackson_2,Hydro,Hydro,BPAT,US
H_M_Jackson_3,Hydro,Hydro,BPAT,US
