name,TypeSpecific,Type,Region,Zone
Idylwilde_2,Hydro_FixedDispatch,Hydro,PSCO,COWY
Ignacio_QF,WT-Onshore,Wind,CIPV,CA
IID_Drop_2_1,HydroRPS,Hydro,IID,CA
IID_Drop_2_2,HydroRPS,Hydro,IID,CA
IID_Drop_3_1,HydroRPS,Hydro,IID,CA
IID_Drop_3_2,HydroRPS,Hydro,IID,CA
IID_Drop_4_1,HydroRPS,Hydro,IID,CA
IID_Drop_4_2,HydroRPS,Hydro,IID,CA
IID_Drop_5_1,Hydro_ZeroK,Hydro,IID,CA
IID_Drop_5_2,Hydro_ZeroK,Hydro,IID,CA
IID_Drop1-1,HydroRPS,Hydro,IID,CA
IID_PVF_21007,Utility Scale PV,PV,IID,CA
IID_PVF_21038,Utility Scale PV,PV,IID,CA
IID_PVF_21076,Utility Scale PV,PV,IID,CA
IID_PVF_21918,Utility Scale PV,PV,IID,CA
IID_PVR_21007,Distributed PV,RPV,IID,CA
IID_PVR_21076,Distributed PV,RPV,IID,CA
IID_PVT_21007,Utility Scale PV,PV,IID,CA
IID_PVT_21025,Utility Scale PV,PV,IID,CA
IID_PVT_21038,Utility Scale PV,PV,IID,CA
IID_PVT_21076,Utility Scale PV,PV,IID,CA
IIDDrop1-2,HydroRPS,Hydro,IID,CA
IIDDrop1-3,HydroRPS,Hydro,IID,CA
ImpOilKearlOilSands,CT-NatGas-Industrial,Gas CT,AESO,CAN
ImpSolarECSouth,SolarPV-NonTracking,PV,CISD,CA
ImpValleySolar1-2,SolarPV-NonTracking,PV,IID,CA
Ina_Road_Waste,SolarPV-NonTracking,PV,TEPC,AZ
IndianValley,HydroRPS_FixedDispatch,Hydro,CIPV,CA
Indigo1,CT-NatGas-Aero,Gas CT,CISC,CA
Indigo2,CT-NatGas-Aero,Gas CT,CISC,CA
Indigo3,CT-NatGas-Aero,Gas CT,CISC,CA
IndustryMtroLnk,SolarPV-NonTracking,PV,CISC,CA
InlandEmpireEC1,CCWhole-NatGas-SingleShaft,Gas CC,CISC,CA
InlandEmpireEC2,CCWhole-NatGas-SingleShaft,Gas CC,CISC,CA
